"Date","EventId","Source","Level","Summary","Message"
"9/22/2025 5:39:18 PM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777224."
"9/22/2025 6:12:25 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 444 to 445.","The system session has transitioned from 444 to 445.

Reason SessionUnlock 

BootId: 22"
"9/22/2025 10:02:41 PM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: Input Keyboard."
"9/22/2025 10:02:41 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 445 to 446.","The system session has transitioned from 445 to 446.

Reason InputAccelerometer 

BootId: 22"
"9/22/2025 10:04:09 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 446 to 447.","The system session has transitioned from 446 to 447.

Reason SessionUnlock 

BootId: 22"
"9/22/2025 10:04:09 PM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: Idle Timeout."
"9/22/2025 10:33:43 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 447 to 448.","The system session has transitioned from 447 to 448.

Reason SessionUnlock 

BootId: 22"
"9/22/2025 11:39:08 PM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777224."
"9/22/2025 11:39:08 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 448 to 449.","The system session has transitioned from 448 to 449.

Reason 16777224 

BootId: 22"
"9/22/2025 11:39:08 PM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777224."
"9/23/2025 12:21:53 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 449 to 450.","The system session has transitioned from 449 to 450.

Reason SessionUnlock 

BootId: 22"
"9/23/2025 12:39:22 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"9/23/2025 12:39:22 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 450 to 451.","The system session has transitioned from 450 to 451.

Reason 16777220 

BootId: 22"
"9/23/2025 12:39:22 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"9/23/2025 12:54:29 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 451 to 452.","The system session has transitioned from 451 to 452.

Reason SessionUnlock 

BootId: 22"
"9/23/2025 12:54:29 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"9/23/2025 12:54:29 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 452 to 453.","The system session has transitioned from 452 to 453.

Reason 16777220 

BootId: 22"
"9/23/2025 12:54:29 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"9/23/2025 12:56:50 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 453 to 454.","The system session has transitioned from 453 to 454.

Reason SessionUnlock 

BootId: 22"
"9/23/2025 1:19:49 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: Input Keyboard."
"9/23/2025 1:19:49 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 454 to 455.","The system session has transitioned from 454 to 455.

Reason InputAccelerometer 

BootId: 22"
"9/23/2025 1:20:17 AM","105","WudfUsbccidDriver","Information","The Smartcard reader reported the following class descriptor (part 2).","The Smartcard reader reported the following class descriptor (part 2)."
"9/23/2025 3:26:44 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 455 to 456.","The system session has transitioned from 455 to 456.

Reason PolicyChange 

BootId: 22"
"9/23/2025 3:26:44 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: Lid."
"9/23/2025 3:26:47 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 456 to 457.","The system session has transitioned from 456 to 457.

Reason PolicyChange 

BootId: 22"
"9/23/2025 3:26:48 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"9/23/2025 3:26:48 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 457 to 458.","The system session has transitioned from 457 to 458.

Reason 16777220 

BootId: 22"
"9/23/2025 3:26:48 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"9/23/2025 3:43:20 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 458 to 459.","The system session has transitioned from 458 to 459.

Reason PolicyChange 

BootId: 22"
"9/23/2025 4:27:18 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777224."
"9/23/2025 4:27:18 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 459 to 460.","The system session has transitioned from 459 to 460.

Reason 16777224 

BootId: 22"
"9/23/2025 4:27:18 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777224."
"9/23/2025 4:59:43 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 460 to 461.","The system session has transitioned from 460 to 461.

Reason PolicyChange 

BootId: 22"
"9/23/2025 5:59:47 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
